flightdate,origincityname,crsdeptime,depdelay,distance,marketing_airline_network,hour,delayed,city_clean,latitude,longitude,temp_mean,precipitation,wind_speed
2018-01-24,"Orlando, FL",620,-3.0,404.0,DL,6,0,Orlando,28.53834,-81.37924,15.1,0.0,11.2
2018-01-28,"Baltimore, MD",1055,-8.0,787.0,WN,10,0,Baltimore,39.29038,-76.61219,10.4,6.0,11.9
2018-01-03,"Atlanta, GA",1425,-2.0,134.0,DL,14,0,Atlanta,33.749,-84.38798,-2.3,0.0,6.9
2018-01-31,"New York, NY",900,35.0,544.0,DL,9,1,New York,40.71427,-74.00597,-4.4,0.0,18.0
2018-01-21,"Dallas/Fort Worth, TX",1240,-2.0,672.0,AA,12,0,Dallas/Fort Worth,32.89595,-97.0372,16.8,8.8,23.3
2018-01-21,"Atlanta, GA",2130,-3.0,1747.0,NK,21,0,Atlanta,33.749,-84.38798,7.6,0.0,6.8
2018-01-03,"New York, NY",2003,5.0,733.0,UA,20,0,New York,40.71427,-74.00597,-7.5,0.0,10.3
2018-01-03,"Atlanta, GA",2240,-4.0,366.0,DL,22,0,Atlanta,33.749,-84.38798,-2.3,0.0,6.9
2018-01-28,"Dallas/Fort Worth, TX",600,-4.0,1119.0,NK,6,0,Dallas/Fort Worth,32.89595,-97.0372,9.5,0.0,9.8
2018-01-08,"Houston, TX",800,-2.0,239.0,WN,8,0,Houston,29.76328,-95.36327,15.1,9.2,18.0
2018-01-29,"Atlanta, GA",1213,-8.0,780.0,DL,12,0,Atlanta,33.749,-84.38798,10.5,0.9,15.7
2018-01-15,"Baltimore, MD",820,-4.0,159.0,WN,8,0,Baltimore,39.29038,-76.61219,-5.3,0.0,8.8
2018-01-24,"Detroit, MI",2010,1.0,813.0,DL,20,0,Detroit,42.33143,-83.04575,-2.2,0.0,15.3
2018-01-02,"Atlanta, GA",1627,33.0,447.0,DL,16,1,Atlanta,33.749,-84.38798,-5.6,0.0,9.7
2018-01-28,"Atlanta, GA",1605,-2.0,907.0,WN,16,0,Atlanta,33.749,-84.38798,11.0,30.5,10.4
2018-01-23,"Houston, TX",515,-8.0,862.0,F9,5,0,Houston,29.76328,-95.36327,9.6,0.0,10.3
2018-01-28,"Baltimore, MD",2135,-14.0,577.0,NK,21,0,Baltimore,39.29038,-76.61219,10.4,6.0,11.9
2018-01-23,"Richmond, VA",544,-7.0,481.0,DL,5,0,Richmond,37.55376,-77.46026,14.6,6.7,19.8
2018-01-01,"Atlanta, GA",645,-7.0,762.0,DL,6,0,Atlanta,33.749,-84.38798,-4.5,0.0,18.5
2018-01-06,"Houston, TX",1032,91.0,247.0,AA,10,1,Houston,29.76328,-95.36327,8.1,0.0,10.8
2018-01-18,"Houston, TX",1220,-2.0,201.0,UA,12,0,Houston,29.76328,-95.36327,-1.5,0.0,8.2
2018-01-20,"Dallas/Fort Worth, TX",1020,-2.0,431.0,AA,10,0,Dallas/Fort Worth,32.89595,-97.0372,13.1,0.0,23.0
2018-01-16,"Houston, TX",830,32.0,1357.0,WN,8,1,Houston,29.76328,-95.36327,4.6,11.2,22.7
2018-01-10,"Kahului, HI",1413,1.0,100.0,HA,14,0,Kahului,20.88953,-156.47432,21.7,0.0,7.1
2018-01-30,"Houston, TX",1940,-8.0,912.0,UA,19,0,Houston,29.76328,-95.36327,9.2,0.0,12.4
2018-01-20,"Detroit, MI",2020,-4.0,430.0,DL,20,0,Detroit,42.33143,-83.04575,2.4,0.0,25.0
2018-01-15,"Atlanta, GA",1505,77.0,594.0,F9,15,1,Atlanta,33.749,-84.38798,-0.6,0.0,7.7
2018-01-09,"Honolulu, HI",1051,-5.0,100.0,HA,10,0,Honolulu,21.30694,-157.85834,22.9,0.0,10.4
2018-01-21,"Orlando, FL",600,-2.0,1005.0,NK,6,0,Orlando,28.53834,-81.37924,16.4,0.1,9.3
2018-01-04,"Atlanta, GA",1709,7.0,589.0,DL,17,0,Atlanta,33.749,-84.38798,-3.3,0.0,21.3
2018-01-28,"Charlotte, NC",1135,8.0,460.0,AA,11,0,Charlotte,35.22709,-80.84313,11.5,13.4,5.1
