delayed,marketing_airline_network,airport_code,destcityname,distance,year,month,dayofmonth,day_of_week,hour,temp_mean,precipitation,wind_speed
0,G4,FSD,"Phoenix, AZ",1725.21248,2018,10,31,2,12,-13.5,0.0,16.4
0,WN,LGB,"Las Vegas, NV",371.75754,2018,12,28,4,8,-12.055555555555555,0.0,17.9
0,UA,MDW,"Kahului, HI",3176.83716,2018,11,24,5,10,-14.833333333333334,4.3,30.2
0,B6,JFK,"Los Angeles, CA",3176.83716,2018,11,6,1,22,-9.86111111111111,4.5,38.7
0,AA,JFK,"Atlanta, GA",1226.31708,2018,10,10,2,13,-5.361111111111111,0.4,21.4
0,UA,LAX,"Monterey, CA",428.08444,2018,11,14,2,19,-7.805555555555555,0.0,18.6
0,WN,ORD,"San Diego, CA",2780.93952,2018,1,31,2,19,-16.47222222222222,0.0,26.8
1,AA,CLT,"Providence, RI",1099.17922,2018,12,19,2,8,-14.444444444444445,0.0,9.3
0,AA,SDF,"Dallas/Fort Worth, TX",1179.64622,2018,10,15,0,6,-11.36111111111111,4.5,16.2
0,DL,MOT,"Minneapolis, MN",722.59366,2018,10,12,4,8,-16.194444444444443,0.1,25.3
0,AA,PHX,"Reno, NV",967.21334,2018,1,5,4,11,-8.972222222222221,0.0,12.4
0,AA,BOS,"Washington, DC",642.12666,2018,1,8,0,21,-20.055555555555557,0.4,27.5
0,AA,MIA,"Cincinnati, OH",1525.65432,2018,10,26,4,19,-3.250000000000001,0.1,21.7
0,UA,DEN,"Oklahoma City, OK",796.6233,2018,10,22,0,14,-10.63888888888889,0.0,27.1
0,UA,IAH,"Louisville, KY",1268.15992,2018,10,25,3,20,-8.305555555555555,4.5,19.1
0,WN,LAX,"Denver, CO",1387.25108,2018,10,3,2,14,-6.416666666666667,4.5,16.6
0,AA,SGF,"Chicago, IL",704.89092,2018,10,4,3,6,-5.888888888888889,4.5,13.7
0,WN,MCI,"Houston, TX",1071.82044,2018,10,22,0,14,-9.972222222222221,0.0,16.1
0,NK,MDW,"Myrtle Beach, SC",1211.83302,2018,10,2,1,7,-7.944444444444445,0.6,24.4
1,AS,SEA,"Anchorage, AK",2330.32432,2018,1,8,0,12,-14.63888888888889,4.5,10.0
0,UA,MSP,"Newark, NJ",1622.21472,2018,10,30,1,7,-13.63888888888889,0.0,14.7
0,UA,BFI,"San Francisco, CA",1092.74186,2018,1,13,5,6,-13.027777777777779,1.1,11.1
0,DL,TLH,"Atlanta, GA",358.88282,2018,1,29,0,5,-10.63888888888889,0.2,19.7
0,DL,DTW,"New Orleans, LA",1490.24884,2018,12,30,6,20,-18.0,0.3,17.1
0,DL,ATL,"Phoenix, AZ",2554.02258,2018,10,27,5,8,-10.916666666666666,0.6,24.2
1,WN,ORD,"Minneapolis, MN",561.65966,2018,10,2,1,17,-8.36111111111111,1.2,18.9
0,DL,ATL,"Los Angeles, CA",3133.38498,2018,1,4,3,14,-19.444444444444443,0.0,26.8
0,DL,SEA,"Los Angeles, CA",1535.31036,2018,10,16,1,11,-11.444444444444445,0.0,10.4
0,UA,GRR,"Chicago, IL",220.47958,2018,10,6,5,20,-8.444444444444445,4.5,13.3
0,WN,SMF,"Las Vegas, NV",638.90798,2018,1,18,3,12,-11.5,4.5,14.0
0,WN,MCI,"San Diego, CA",2146.85956,2018,10,29,0,7,-10.5,0.0,18.1
0,AA,MDW,"Philadelphia, PA",1091.1325199999999,2018,11,19,0,5,-19.0,1.0,15.9
0,UA,AMA,"Denver, CO",577.75306,2018,1,5,4,12,-15.805555555555555,0.0,13.1
0,AA,MDW,"Dallas/Fort Worth, TX",1289.08134,2018,11,30,4,10,-18.38888888888889,0.2,14.3
0,WN,LGB,"Las Vegas, NV",371.75754,2018,11,30,4,16,-9.694444444444445,0.0,23.8
1,WN,PHL,"Phoenix, AZ",3176.83716,2018,10,12,4,17,-8.722222222222221,4.5,29.9
0,WN,SFB,"Rochester, NY",1662.44822,2018,1,12,4,7,-5.805555555555555,4.5,27.1
