type,name,latitude,longitude,state_clean,city_clean,airport_code
large_airport,Harry Reid International Airport,36.083361,-115.151817,NV,Las Vegas,LAS
medium_airport,Lawton Fort Sill Regional Airport,34.567699,-98.416603,OK,Lawton,LAW
large_airport,Los Angeles International Airport,33.942501,-118.407997,CA,Los Angeles,LAX
medium_airport,Lubbock Preston Smith International Airport,33.663601,-101.822998,TX,Lubbock,LBB
medium_airport,Arnold Palmer Regional Airport,40.275902,-79.4048,PA,Latrobe,LBE
medium_airport,North Platte Regional Airport Lee Bird Field,41.12620163,-100.6839981,NE,North Platte,LBF
medium_airport,Liberal Mid-America Regional Airport,37.0442009,-100.9599991,KS,Liberal,LBL
medium_airport,Lake Charles Regional Airport,30.126100540161133,-93.22329711914062,LA,Lake Charles,LCH
large_airport,Rickenbacker International Airport,39.813801,-82.927803,OH,Columbus,LCK
medium_airport,Lebanon Municipal Airport,43.6260986328,-72.30419921880001,NH,Lebanon,LEB
medium_airport,Blue Grass Airport,38.036499,-84.605904,KY,Lexington,LEX
medium_airport,Lafayette Regional Airport,30.205299,-91.987602,LA,Lafayette,LFT
large_airport,LaGuardia Airport,40.777199,-73.872597,NY,New York,LGA
large_airport,Long Beach International Airport,33.816523,-118.149891,CA,Long Beach,LGB
medium_airport,Bill & Hillary Clinton National Airport/Adams Field,34.729582,-92.223728,AR,Little Rock,LIT
medium_airport,Lincoln Airport,40.85100173950195,-96.75920104980467,NE,Lincoln,LNK
medium_airport,Lancaster Airport,40.121700286865234,-76.29609680175781,PA,Lancaster,LNS
large_airport,Laredo International Airport,27.5438,-99.461601,TX,Laredo,LRD
large_airport,Las Cruces International Airport,32.289398,-106.921997,NM,Las Cruces,LRU
medium_airport,La Crosse Regional Airport,43.879002,-91.256699,WI,La Crosse,LSE
medium_airport,Cincinnati Municipal Airport Lunken Field,39.102357,-84.418945,OH,Cincinnati,LUK
medium_airport,Greenbrier Valley Airport,37.857914,-80.400438,WV,Lewisburg,LWB
medium_airport,Lewiston Nez Perce County Airport,46.3745002746582,-117.01499938964844,ID,Lewiston,LWS
medium_airport,Lynchburg Regional Airport - Preston Glenn Field,37.326698,-79.200401,VA,Lynchburg,LYH
medium_airport,Midland International Air and Space Port,31.942499,-102.202003,TX,Midland,MAF
small_airport,Manistee County Blacker Airport,44.272707,-86.246495,MI,Manistee,MBL
large_airport,MBS International Airport,43.533181,-84.083104,MI,Freeland,MBS
medium_airport,Merced Regional Macready Field,37.284698,-120.514,CA,Merced,MCE
large_airport,Kansas City International Airport,39.2976,-94.713898,MO,Kansas City,MCI
medium_airport,McCook Ben Nelson Regional Airport,40.207787,-100.592794,NE,McCook,MCK
medium_airport,Middle Georgia Regional Airport,32.69279861450195,-83.64920043945312,GA,Macon,MCN
large_airport,Orlando International Airport,28.429399490356445,-81.30899810791016,FL,Orlando,MCO
medium_airport,Mason City Municipal Airport,43.159801,-93.329716,IA,Mason City,MCW
medium_airport,Harrisburg International Airport,40.193501,-76.763397,PA,Harrisburg,MDT
large_airport,Chicago Midway International Airport,41.785999,-87.752403,IL,Chicago,MDW
medium_airport,Key Field / Meridian Regional Airport,32.3326,-88.7519,MS,Meridian,MEI
large_airport,Memphis International Airport,35.0424,-89.9767,TN,Memphis,MEM
medium_airport,McAllen Miller International Airport,26.176141,-98.237965,TX,McAllen,MFE
medium_airport,Rogue Valley International Medford Airport,42.37419891357422,-122.8730010986328,OR,Medford,MFR
medium_airport,Montgomery Regional (Dannelly Field) Airport,32.300598,-86.393997,AL,Montgomery,MGM
medium_airport,Morgantown Municipal Airport Walter L. (Bill) Hart Field,39.643305,-79.917598,WV,Morgantown,MGW
medium_airport,Manhattan Regional Airport,39.14099884033203,-96.6707992553711,KS,Manhattan,MHK
medium_airport,Manchester-Boston Regional Airport,42.932598,-71.435699,NH,Manchester,MHT
large_airport,Miami International Airport,25.7932,-80.290604,FL,Miami,MIA
large_airport,General Mitchell International Airport,42.947201,-87.896599,WI,Milwaukee,MKE
medium_airport,Muskegon County Airport,43.169498,-86.238197,MI,Muskegon,MKG
medium_airport,McKellar-Sipes Regional Airport,35.599899,-88.915604,TN,Jackson,MKL
medium_airport,Melbourne Orlando International Airport,28.1028,-80.645302,FL,Melbourne,MLB
large_airport,Quad City International Airport,41.448502,-90.5075,IL,Moline,MLI
medium_airport,Monroe Regional Airport,32.510899,-92.037697,LA,Monroe,MLU
small_airport,Mammoth Yosemite Airport,37.625381,-118.84306,CA,Mammoth Lakes,MMH
medium_airport,Mobile Regional Airport,30.6912,-88.242798,AL,Mobile,MOB
large_airport,Minot International Airport,48.25801,-101.279123,ND,Minot,MOT
medium_airport,Monterey Peninsula Airport,36.58700180053711,-121.84300231933594,CA,Monterey,MRY
medium_airport,Northwest Alabama Regional Airport,34.745123,-87.612981,AL,Muscle Shoals,MSL
medium_airport,Dane County Regional Truax Field,43.1399,-89.337502,WI,Madison,MSN
large_airport,Missoula International Airport,46.915816,-114.091107,MT,Missoula,MSO
large_airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.880081,-93.221741,MN,Minneapolis,MSP
medium_airport,Massena International Airport Richards Field,44.936157,-74.844304,NY,Massena,MSS
large_airport,Louis Armstrong New Orleans International Airport,29.993401,-90.258003,LA,New Orleans,MSY
medium_airport,Montrose Regional Airport,38.5098,-107.893997,CO,Montrose,MTJ
small_airport,Montauk Airport,41.0765,-71.920797,NY,Montauk,MTP
small_airport,Martha's Vineyard Airport,41.3931007385,-70.6143035889,MA,Martha's Vineyard,MVY
