year,month,dayofmonth,flightdate,marketing_airline_network,origincityname,destcityname,crsdeptime,deptime,depdelay,depdelayminutes,taxiout,wheelsoff,wheelson,taxiin,crsarrtime,arrtime,arrdelay,arrdelayminutes,crselapsedtime,actualelapsedtime,airtime,distance,distancegroup,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,hour,delayed,distance_bin,day_of_week,city_clean,state_clean,type,name,latitude,longitude,airport_code,temp_mean,precipitation,wind_speed
2018,10,25,2018-10-25,DL,"Atlanta, GA","Boston, MA",1355,1355.0,0.0,0.0,16.0,1411.0,1610.0,7.0,1630,1617.0,-13.0,0.0,155.0,142.0,119.0,946.0,4,0.0,0.0,0.0,0.0,0.0,13,0,"(762.0, 1107.0]",3,Atlanta,GA,medium_airport,DeKalb Peachtree Airport,33.87633,-84.30213,PDK,11.3,7.1,23.4
2018,1,14,2018-01-14,DL,"Detroit, MI","Greensboro/High Point, NC",1230,1225.0,-5.0,0.0,15.0,1240.0,1354.0,4.0,1417,1358.0,-19.0,0.0,107.0,93.0,74.0,460.0,2,0.0,0.0,0.0,0.0,0.0,12,0,"(305.0, 507.0]",6,Detroit,MI,large_airport,Detroit Metropolitan Wayne County Airport,42.21377,-83.353786,DTW,-9.85,0.0,17.1
2018,1,27,2018-01-27,DL,"Detroit, MI","Traverse City, MI",835,831.0,-4.0,0.0,23.0,854.0,938.0,6.0,955,944.0,-11.0,0.0,80.0,73.0,44.0,207.0,1,0.0,0.0,0.0,0.0,0.0,8,0,"(15.999, 305.0]",5,Detroit,MI,large_airport,Detroit Metropolitan Wayne County Airport,42.21377,-83.353786,DTW,4.35,0.6,27.9
2018,10,23,2018-10-23,WN,"Atlanta, GA","Indianapolis, IN",845,837.0,-8.0,0.0,18.0,855.0,1004.0,3.0,1015,1007.0,-8.0,0.0,90.0,90.0,69.0,432.0,2,0.0,0.0,0.0,0.0,0.0,8,0,"(305.0, 507.0]",1,Atlanta,GA,medium_airport,DeKalb Peachtree Airport,33.87633,-84.30213,PDK,13.1,0.0,12.5
2018,10,29,2018-10-29,AA,"Charlotte, NC","Dallas/Fort Worth, TX",1752,1744.0,-8.0,0.0,14.0,1758.0,1913.0,14.0,1944,1927.0,-17.0,0.0,172.0,163.0,135.0,936.0,4,0.0,0.0,0.0,0.0,0.0,17,0,"(762.0, 1107.0]",0,Charlotte,NC,large_airport,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,CLT,13.35,0.0,17.6
2018,1,6,2018-01-06,DL,"Washington, DC","New York, NY",640,636.0,-4.0,0.0,19.0,655.0,742.0,15.0,808,757.0,-11.0,0.0,88.0,81.0,47.0,228.0,1,0.0,0.0,0.0,0.0,0.0,6,0,"(15.999, 305.0]",5,Washington,DC,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,DCA,-10.65,0.0,24.4
2018,11,27,2018-11-27,WN,"Charleston, SC","Chicago, IL",1640,1638.0,-2.0,0.0,8.0,1646.0,1737.0,5.0,1750,1742.0,-8.0,0.0,130.0,124.0,111.0,745.0,3,0.0,0.0,0.0,0.0,0.0,16,0,"(507.0, 762.0]",1,Charleston,SC,medium_airport,Charleston International Airport,32.898602,-80.040497,CHS,6.15,0.0,24.4
2018,10,30,2018-10-30,AA,"Raleigh/Durham, NC","New York, NY",745,735.0,-10.0,0.0,26.0,801.0,911.0,10.0,932,921.0,-11.0,0.0,107.0,106.0,70.0,431.0,2,0.0,0.0,0.0,0.0,0.0,7,0,"(305.0, 507.0]",1,Raleigh/Durham,NC,large_airport,Raleigh Durham International Airport,35.877602,-78.787498,RDU,10.9,0.0,9.8
2018,1,9,2018-01-09,AA,"New York, NY","St. Louis, MO",1829,1821.0,-8.0,0.0,38.0,1859.0,2016.0,6.0,2030,2022.0,-8.0,0.0,181.0,181.0,137.0,888.0,4,0.0,0.0,0.0,0.0,0.0,18,0,"(762.0, 1107.0]",1,New York,NY,large_airport,LaGuardia Airport,40.777199,-73.872597,LGA,-0.6500000000000001,0.0,20.4
2018,12,8,2018-12-08,AA,"Chicago, IL","Little Rock, AR",955,953.0,-2.0,0.0,19.0,1012.0,1142.0,3.0,1150,1145.0,-5.0,0.0,115.0,112.0,90.0,552.0,3,0.0,0.0,0.0,0.0,0.0,9,0,"(507.0, 762.0]",5,Chicago,IL,large_airport,Chicago Midway International Airport,41.785999,-87.752403,MDW,-4.5,0.0,9.4
